Key,Closed Bugs,Closed Bugs w/o Affect Version,Percent w/o AV,Num Bugs w/ AV after Fix,Percent Bugs w/ AV after Fix (out of Bugs w/ AV),Num Bugs w/ AV w/o Release Dates,Percent Bugs w/ AV w/o Release Date (out of Bugs w/ AV),Num Bugs w/ AV w/ Weird Names, Percent Bugs w/ AV w/ Weird Names (out of Bugs w/ AV),Num Bugs Missing Creation/Resolution Date,Percent Bugs Missing Creation/Resolution Date(out of Bugs w/ AV),Total Bugs w/ AV and a Problem,Percent Closed Bugs w/ AV and a Problem(out of Bugs w/ AV),Percent Closed Bugs w/ Problem Including Missing AV(out of Closed Bugs)
BEANUTILS,241.0,53.0,0.21991701244813278,0.0,0.0,0.0,0.0,32.0,0.1702127659574468,0.0,0.0,32.0,0.1702127659574468,0.35269709543568467
CLI,144.0,39.0,0.2708333333333333,0.0,0.0,6.0,0.05714285714285714,11.0,0.10476190476190476,0.0,0.0,17.0,0.1619047619047619,0.3888888888888889
COLLECTIONS,310.0,59.0,0.19032258064516128,8.0,0.03187250996015936,7.0,0.027888446215139442,36.0,0.14342629482071714,0.0,0.0,48.0,0.19123505976095617,0.34516129032258064
CONFIGURATION,286.0,39.0,0.13636363636363635,2.0,0.008097165991902834,11.0,0.044534412955465584,21.0,0.08502024291497975,0.0,0.0,32.0,0.12955465587044535,0.24825174825174826
DBCP,329.0,85.0,0.25835866261398177,1.0,0.004098360655737705,2.0,0.00819672131147541,32.0,0.13114754098360656,0.0,0.0,35.0,0.14344262295081966,0.364741641337386
FILEUPLOAD,162.0,33.0,0.2037037037037037,0.0,0.0,1.0,0.007751937984496124,11.0,0.08527131782945736,0.0,0.0,12.0,0.09302325581395349,0.2777777777777778
IO,219.0,52.0,0.2374429223744292,1.0,0.005988023952095809,3.0,0.017964071856287425,0.0,0.0,0.0,0.0,3.0,0.017964071856287425,0.2511415525114155
JCS,105.0,30.0,0.2857142857142857,6.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.08,0.34285714285714286
LANG,585.0,159.0,0.2717948717948718,7.0,0.01643192488262911,5.0,0.011737089201877934,0.0,0.0,0.0,0.0,12.0,0.028169014084507043,0.2923076923076923
LOGGING,111.0,27.0,0.24324324324324326,0.0,0.0,3.0,0.03571428571428571,19.0,0.2261904761904762,0.0,0.0,21.0,0.25,0.43243243243243246
MATH,567.0,190.0,0.3350970017636684,16.0,0.042440318302387266,5.0,0.013262599469496022,0.0,0.0,0.0,0.0,21.0,0.05570291777188329,0.37213403880070545
NET,398.0,65.0,0.16331658291457288,0.0,0.0,6.0,0.018018018018018018,17.0,0.05105105105105105,0.0,0.0,23.0,0.06906906906906907,0.22110552763819097
POOL,180.0,47.0,0.2611111111111111,9.0,0.06766917293233082,0.0,0.0,8.0,0.06015037593984962,0.0,0.0,17.0,0.12781954887218044,0.35555555555555557
VALIDATOR,210.0,57.0,0.2714285714285714,0.0,0.0,0.0,0.0,45.0,0.29411764705882354,0.0,0.0,45.0,0.29411764705882354,0.4857142857142857
VFS,216.0,63.0,0.2916666666666667,0.0,0.0,0.0,0.0,34.0,0.2222222222222222,0.0,0.0,34.0,0.2222222222222222,0.44907407407407407
CONTINUUM,1356.0,261.0,0.19247787610619468,26.0,0.023744292237442923,29.0,0.026484018264840183,0.0,0.0,0.0,0.0,55.0,0.0502283105022831,0.23303834808259588
COUCHDB,1261.0,681.0,0.5400475812846947,32.0,0.05517241379310345,3.0,0.005172413793103448,0.0,0.0,0.0,0.0,35.0,0.0603448275862069,0.5678033306899286
CRUNCH,301.0,140.0,0.46511627906976744,1.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.006211180124223602,0.4684385382059801
CXF,4639.0,847.0,0.18258245311489546,163.0,0.04298523206751055,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.04298523206751055,0.21771933606380686
DOSGI,119.0,48.0,0.40336134453781514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40336134453781514
DAFFODIL,814.0,410.0,0.5036855036855037,5.0,0.012376237623762377,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.012376237623762377,0.5098280098280098
DTACLOUD,364.0,364.0,1.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,1.0
DELTASPIKE,388.0,50.0,0.12886597938144329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12886597938144329
DERBY,3503.0,361.0,0.10305452469312018,612.0,0.19478039465308722,177.0,0.05633354551241248,0.0,0.0,0.0,0.0,761.0,0.24220241884150223,0.32029688838138737
DIRSERVER,921.0,209.0,0.2269272529858849,210.0,0.2949438202247191,14.0,0.019662921348314606,0.0,0.0,0.0,0.0,224.0,0.3146067415730337,0.47014115092290987
DIRAPI,100.0,14.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
DIRSTUDIO,418.0,42.0,0.10047846889952153,0.0,0.0,2.0,0.005319148936170213,0.0,0.0,0.0,0.0,2.0,0.005319148936170213,0.10526315789473684
EAGLE,139.0,45.0,0.3237410071942446,0.0,0.0,46.0,0.48936170212765956,0.0,0.0,0.0,0.0,46.0,0.48936170212765956,0.6546762589928058
FALCON,175.0,74.0,0.4228571428571429,12.0,0.1188118811881188,0.0,0.0,9.0,0.0891089108910891,0.0,0.0,21.0,0.2079207920792079,0.5428571428571428
FELIX,2327.0,542.0,0.23291792006875806,119.0,0.06666666666666667,23.0,0.01288515406162465,0.0,0.0,0.0,0.0,142.0,0.07955182072829131,0.293940696175333
FLINK,3184.0,1342.0,0.4214824120603015,386.0,0.20955483170466885,304.0,0.16503800217155265,0.0,0.0,0.0,0.0,659.0,0.3577633007600434,0.6284547738693468
FLUME,239.0,58.0,0.24267782426778242,2.0,0.011049723756906077,83.0,0.4585635359116022,0.0,0.0,0.0,0.0,85.0,0.4696132596685083,0.5983263598326359
FOP,1723.0,54.0,0.03134068485200232,0.0,0.0,764.0,0.45775913720790895,730.0,0.4373876572798083,0.0,0.0,1494.0,0.8951467944877172,0.8984329657573998
FOR,365.0,60.0,0.1643835616438356,0.0,0.0,187.0,0.6131147540983607,0.0,0.0,0.0,0.0,187.0,0.6131147540983607,0.6767123287671233
FTPSERVER,204.0,61.0,0.29901960784313725,4.0,0.027972027972027972,1.0,0.006993006993006993,0.0,0.0,0.0,0.0,4.0,0.027972027972027972,0.31862745098039214
GEODE,2514.0,2187.0,0.869928400954654,67.0,0.20489296636085627,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.20489296636085627,0.8965791567223548
GERONIMO,352.0,128.0,0.36363636363636365,0.0,0.0,223.0,0.9955357142857143,0.0,0.0,0.0,0.0,223.0,0.9955357142857143,0.9971590909090909
GERONIMODEVTOOLS,217.0,55.0,0.2534562211981567,33.0,0.2037037037037037,22.0,0.13580246913580246,0.0,0.0,0.0,0.0,51.0,0.3148148148148148,0.48847926267281105
GROOVY,5145.0,867.0,0.16851311953352768,59.0,0.013791491351098644,16.0,0.0037400654511453952,0.0,0.0,0.0,0.0,75.0,0.01753155680224404,0.18309037900874636
HADOOP,3835.0,1175.0,0.30638852672750977,816.0,0.3067669172932331,87.0,0.03270676691729323,10.0,0.0037593984962406013,0.0,0.0,865.0,0.325187969924812,0.5319426336375489
HDFS,1885.0,422.0,0.22387267904509284,679.0,0.46411483253588515,39.0,0.026657552973342446,3.0,0.002050580997949419,0.0,0.0,704.0,0.48120300751879697,0.5973474801061008
MAPREDUCE,1661.0,380.0,0.22877784467188442,590.0,0.4605776736924278,34.0,0.02654176424668228,2.0,0.00156128024980484,0.0,0.0,611.0,0.4769711163153786,0.596628537025888
YARN,871.0,301.0,0.3455797933409874,109.0,0.1912280701754386,0.0,0.0,1.0,0.0017543859649122807,0.0,0.0,110.0,0.19298245614035087,0.4718714121699196
HARMONY,3137.0,2938.0,0.9365635957921581,1.0,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.005025125628140704,0.9368823716927001
HBASE,5187.0,2459.0,0.47406978985926357,1214.0,0.44501466275659823,18.0,0.006598240469208211,0.0,0.0,0.0,0.0,1220.0,0.4472140762463343,0.7092731829573935
HCATALOG,207.0,60.0,0.2898550724637681,1.0,0.006802721088435374,58.0,0.3945578231292517,0.0,0.0,0.0,0.0,58.0,0.3945578231292517,0.5700483091787439
HIVE,5334.0,2592.0,0.4859392575928009,712.0,0.25966447848285923,259.0,0.09445660102115244,0.0,0.0,0.0,0.0,927.0,0.33807439824945296,0.6597300337457818
HTTPCLIENT,1144.0,197.0,0.17220279720279721,14.0,0.014783526927138331,1.0,0.0010559662090813093,2.0,0.0021119324181626186,0.0,0.0,17.0,0.01795142555438226,0.18706293706293706
HTTPCORE,214.0,43.0,0.20093457943925233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20093457943925233
IBATISNET,125.0,37.0,0.296,0.0,0.0,7.0,0.07954545454545454,0.0,0.0,0.0,0.0,7.0,0.07954545454545454,0.352
IBATIS,374.0,66.0,0.17647058823529413,0.0,0.0,120.0,0.38961038961038963,0.0,0.0,0.0,0.0,120.0,0.38961038961038963,0.49732620320855614
IGNITE,1754.0,633.0,0.36088939566704675,9.0,0.008028545941123996,24.0,0.021409455842997322,0.0,0.0,0.0,0.0,33.0,0.029438001784121322,0.37970353477765106
IMPALA,166.0,36.0,0.21686746987951808,2.0,0.015384615384615385,24.0,0.18461538461538463,2.0,0.015384615384615385,0.0,0.0,27.0,0.2076923076923077,0.3795180722891566
INFRA,3835.0,3835.0,1.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,1.0
ISIS,465.0,73.0,0.15698924731182795,5.0,0.012755102040816327,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.012755102040816327,0.16774193548387098
IVY,143.0,20.0,0.13986013986013987,2.0,0.016260162601626018,0.0,0.0,13.0,0.10569105691056911,0.0,0.0,15.0,0.12195121951219512,0.24475524475524477
JCR,1775.0,637.0,0.3588732394366197,86.0,0.07557117750439367,2.0,0.0017574692442882249,0.0,0.0,0.0,0.0,87.0,0.07644991212653779,0.40788732394366195
JCRVLT,127.0,52.0,0.4094488188976378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4094488188976378
OAK,2649.0,1796.0,0.6779916949792375,42.0,0.0492379835873388,3.0,0.0035169988276670576,0.0,0.0,0.0,0.0,45.0,0.05275498241500586,0.6949792374480936
JAMES,697.0,308.0,0.4418938307030129,0.0,0.0,190.0,0.4884318766066838,71.0,0.18251928020565553,0.0,0.0,246.0,0.6323907455012854,0.7948350071736011
JCLOUDS,128.0,23.0,0.1796875,23.0,0.21904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.21904761904761905,0.359375
JDO,404.0,233.0,0.5767326732673267,1.0,0.005847953216374269,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.005847953216374269,0.5792079207920792
JS2,597.0,52.0,0.08710217755443886,32.0,0.05871559633027523,193.0,0.3541284403669725,0.0,0.0,0.0,0.0,225.0,0.41284403669724773,0.4639865996649916
JSPWIKI,318.0,27.0,0.08490566037735849,4.0,0.013745704467353952,50.0,0.1718213058419244,0.0,0.0,0.0,0.0,54.0,0.18556701030927836,0.25471698113207547
JUDDI,524.0,219.0,0.4179389312977099,13.0,0.04262295081967213,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.04262295081967213,0.44274809160305345
KAFKA,409.0,106.0,0.2591687041564792,49.0,0.1617161716171617,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.1617161716171617,0.37897310513447435
KARAF,476.0,116.0,0.24369747899159663,66.0,0.18333333333333332,4.0,0.011111111111111112,0.0,0.0,0.0,0.0,70.0,0.19444444444444445,0.3907563025210084
KYLIN,1591.0,774.0,0.4864864864864865,16.0,0.019583843329253364,106.0,0.12974296205630356,17.0,0.0208078335373317,0.0,0.0,136.0,0.1664626682986536,0.5719673161533627
LIBCLOUD,143.0,90.0,0.6293706293706294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6293706293706294
LOG4J2,557.0,79.0,0.14183123877917414,0.0,0.0,10.0,0.02092050209205021,0.0,0.0,0.0,0.0,10.0,0.02092050209205021,0.15978456014362658
LUCENE,2480.0,1265.0,0.5100806451612904,268.0,0.2205761316872428,5.0,0.00411522633744856,1.0,8.230452674897119E-4,0.0,0.0,273.0,0.22469135802469137,0.6201612903225806
LUCENENET,347.0,304.0,0.8760806916426513,4.0,0.09302325581395349,6.0,0.13953488372093023,0.0,0.0,0.0,0.0,10.0,0.23255813953488372,0.9048991354466859
MAHOUT,707.0,154.0,0.21782178217821782,7.0,0.012658227848101266,16.0,0.028933092224231464,0.0,0.0,0.0,0.0,23.0,0.04159132007233273,0.25035360678925034
MARMOTTA,219.0,50.0,0.228310502283105,2.0,0.011834319526627219,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.011834319526627219,0.2374429223744292
MNG,2979.0,557.0,0.18697549513259484,153.0,0.06317093311312964,98.0,0.04046242774566474,10.0,0.004128819157720892,0.0,0.0,260.0,0.10734929810074319,0.27425310506881506
MANTTASKS,167.0,37.0,0.2215568862275449,0.0,0.0,19.0,0.14615384615384616,0.0,0.0,0.0,0.0,19.0,0.14615384615384616,0.33532934131736525
MANTRUN,113.0,39.0,0.34513274336283184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34513274336283184
ARCHETYPE,260.0,74.0,0.2846153846153846,0.0,0.0,12.0,0.06451612903225806,1.0,0.005376344086021506,0.0,0.0,13.0,0.06989247311827956,0.3346153846153846
MASSEMBLY,557.0,102.0,0.18312387791741472,20.0,0.04395604395604396,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.04395604395604396,0.21903052064631956
MCHANGES,160.0,35.0,0.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21875
MCHECKSTYLE,177.0,40.0,0.22598870056497175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22598870056497175
MCOMPILER,213.0,62.0,0.29107981220657275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29107981220657275
MDEP,277.0,40.0,0.1444043321299639,2.0,0.008438818565400843,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.008438818565400843,0.15162454873646208
MDEPLOY,123.0,32.0,0.2601626016260163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2601626016260163
DOXIA,285.0,55.0,0.19298245614035087,11.0,0.04782608695652174,39.0,0.16956521739130434,0.0,0.0,0.0,0.0,50.0,0.21739130434782608,0.3684210526315789
MEAR,107.0,30.0,0.2803738317757009,0.0,0.0,0.0,0.0,1.0,0.012987012987012988,0.0,0.0,1.0,0.012987012987012988,0.2897196261682243
MECLIPSE,471.0,116.0,0.24628450106157113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24628450106157113
MENFORCER,114.0,26.0,0.22807017543859648,3.0,0.03409090909090909,1.0,0.011363636363636364,0.0,0.0,0.0,0.0,4.0,0.045454545454545456,0.2631578947368421
MJAR,115.0,28.0,0.24347826086956523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24347826086956523
MJAVADOC,364.0,80.0,0.21978021978021978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21978021978021978
MPLUGIN,165.0,41.0,0.24848484848484848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24848484848484848
MPMD,116.0,23.0,0.19827586206896552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19827586206896552
MPIR,187.0,27.0,0.1443850267379679,0.0,0.0,7.0,0.04375,0.0,0.0,0.0,0.0,7.0,0.04375,0.18181818181818182
MNGSITE,176.0,176.0,1.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,1.0
MRELEASE,625.0,136.0,0.2176,0.0,0.0,7.0,0.014314928425357873,0.0,0.0,0.0,0.0,7.0,0.014314928425357873,0.2288
MRESOURCES,118.0,24.0,0.2033898305084746,1.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010638297872340425,0.211864406779661
SCM,509.0,100.0,0.19646365422396855,0.0,0.0,12.0,0.029339853300733496,0.0,0.0,0.0,0.0,12.0,0.029339853300733496,0.2200392927308448
MSHADE,144.0,14.0,0.09722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09722222222222222
MSHARED,240.0,77.0,0.32083333333333336,7.0,0.04294478527607362,2.0,0.012269938650306749,0.0,0.0,0.0,0.0,9.0,0.05521472392638037,0.35833333333333334
MSITE,468.0,117.0,0.25,5.0,0.014245014245014245,13.0,0.037037037037037035,0.0,0.0,0.0,0.0,18.0,0.05128205128205128,0.28846153846153844
SUREFIRE,962.0,227.0,0.23596673596673598,24.0,0.0326530612244898,77.0,0.10476190476190476,6.0,0.00816326530612245,0.0,0.0,106.0,0.14421768707482993,0.34615384615384615
WAGON,317.0,104.0,0.3280757097791798,5.0,0.023474178403755867,29.0,0.13615023474178403,0.0,0.0,0.0,0.0,34.0,0.1596244131455399,0.4353312302839117
MWAR,209.0,46.0,0.22009569377990432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22009569377990432
DIRMINA,408.0,46.0,0.11274509803921569,23.0,0.06353591160220995,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.06353591160220995,0.16911764705882354
MODPYTHON,105.0,2.0,0.01904761904761905,0.0,0.0,9.0,0.08737864077669903,0.0,0.0,0.0,0.0,9.0,0.08737864077669903,0.10476190476190476
MYFACES,2251.0,304.0,0.13505108840515326,81.0,0.04160246533127889,353.0,0.1813045711350796,0.0,0.0,0.0,0.0,433.0,0.2223934257832563,0.3274100399822301
TOBAGO,841.0,148.0,0.1759809750297265,12.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.017316017316017316,0.1902497027348395
TOMAHAWK,848.0,242.0,0.28537735849056606,0.0,0.0,289.0,0.4768976897689769,0.0,0.0,0.0,0.0,289.0,0.4768976897689769,0.6261792452830188
TRINIDAD,1035.0,170.0,0.1642512077294686,87.0,0.10057803468208093,77.0,0.08901734104046242,0.0,0.0,0.0,0.0,164.0,0.18959537572254334,0.32270531400966185
