Bug ID,Version Index,Version Name,Days from Version to Ticket Creation,LOC touched from Version to Ticket Creation,Bugginess
QPIDJMS-228,5,0.5.0,473,134,No
QPIDJMS-228,4,0.4.0,485,141,No
QPIDJMS-228,3,0.3.0,551,148,No
QPIDJMS-228,2,0.2.0,580,222,No
QPIDJMS-228,1,0.1.0,638,261,No
QPIDJMS-223,13,0.20.0,0,0,No
QPIDJMS-223,12,0.11.1,44,169,Yes
QPIDJMS-223,11,0.11.0,69,170,No
QPIDJMS-223,10,0.10.0,139,176,No
QPIDJMS-223,9,0.9.0,219,176,No
QPIDJMS-223,8,0.8.0,271,212,No
QPIDJMS-223,7,0.7.0,331,212,No
QPIDJMS-223,6,0.6.0,401,229,No
QPIDJMS-223,5,0.5.0,443,383,No
QPIDJMS-223,4,0.4.0,455,384,No
QPIDJMS-223,3,0.3.0,521,388,No
QPIDJMS-223,2,0.2.0,550,427,No
QPIDJMS-223,1,0.1.0,608,427,No
QPIDJMS-224,13,0.20.0,0,0,No
QPIDJMS-224,12,0.11.1,46,130,Yes
QPIDJMS-224,11,0.11.0,71,130,No
QPIDJMS-224,10,0.10.0,141,130,No
QPIDJMS-224,9,0.9.0,221,130,No
QPIDJMS-224,8,0.8.0,273,132,No
QPIDJMS-224,7,0.7.0,333,132,No
QPIDJMS-224,6,0.6.0,403,134,No
QPIDJMS-224,5,0.5.0,445,152,No
QPIDJMS-224,4,0.4.0,457,152,No
QPIDJMS-224,3,0.3.0,523,152,No
QPIDJMS-224,2,0.2.0,552,152,No
QPIDJMS-224,1,0.1.0,610,152,No
QPIDJMS-226,13,0.20.0,0,0,No
QPIDJMS-226,12,0.11.1,50,99,Yes
QPIDJMS-226,11,0.11.0,75,367,No
QPIDJMS-226,10,0.10.0,145,367,No
QPIDJMS-226,9,0.9.0,225,472,No
QPIDJMS-226,8,0.8.0,277,802,No
QPIDJMS-226,7,0.7.0,337,802,No
QPIDJMS-226,6,0.6.0,407,1106,No
QPIDJMS-226,5,0.5.0,449,1897,No
QPIDJMS-226,4,0.4.0,461,2261,No
QPIDJMS-226,3,0.3.0,527,2264,No
QPIDJMS-226,2,0.2.0,556,2287,No
QPIDJMS-226,1,0.1.0,614,2302,No
QPIDJMS-221,13,0.20.0,0,0,No
QPIDJMS-221,12,0.11.1,39,190,Yes
QPIDJMS-221,11,0.11.0,64,245,No
QPIDJMS-221,10,0.10.0,134,247,No
QPIDJMS-221,9,0.9.0,214,324,No
QPIDJMS-221,8,0.8.0,266,349,No
QPIDJMS-221,7,0.7.0,326,349,No
QPIDJMS-221,6,0.6.0,396,412,No
QPIDJMS-221,5,0.5.0,438,1105,No
QPIDJMS-221,4,0.4.0,450,1392,No
QPIDJMS-221,3,0.3.0,516,1430,No
QPIDJMS-221,2,0.2.0,545,1475,No
QPIDJMS-221,1,0.1.0,603,1492,No
QPIDJMS-189,11,0.11.0,0,0,No
QPIDJMS-189,10,0.10.0,69,164,Yes
QPIDJMS-189,9,0.9.0,149,164,Yes
QPIDJMS-189,8,0.8.0,201,258,No
QPIDJMS-189,7,0.7.0,261,262,No
QPIDJMS-189,6,0.6.0,331,262,No
QPIDJMS-189,5,0.5.0,373,309,No
QPIDJMS-189,4,0.4.0,385,309,No
QPIDJMS-189,3,0.3.0,451,309,No
QPIDJMS-189,2,0.2.0,480,315,No
QPIDJMS-189,1,0.1.0,538,315,No
QPIDJMS-222,13,0.20.0,0,0,No
QPIDJMS-222,12,0.11.1,44,1168,Yes
QPIDJMS-222,11,0.11.0,69,1211,No
QPIDJMS-222,10,0.10.0,139,1435,No
QPIDJMS-222,9,0.9.0,219,1439,No
QPIDJMS-222,8,0.8.0,271,1561,No
QPIDJMS-222,7,0.7.0,331,1565,No
QPIDJMS-222,6,0.6.0,401,1565,No
QPIDJMS-222,5,0.5.0,443,1679,No
QPIDJMS-222,4,0.4.0,455,1679,No
QPIDJMS-222,3,0.3.0,521,1679,No
QPIDJMS-222,2,0.2.0,550,1690,No
QPIDJMS-222,1,0.1.0,608,1690,No
QPIDJMS-182,10,0.10.0,0,0,No
QPIDJMS-182,9,0.9.0,44,12,Yes
QPIDJMS-182,8,0.8.0,96,22,No
QPIDJMS-182,7,0.7.0,156,22,No
QPIDJMS-182,6,0.6.0,226,22,No
QPIDJMS-182,5,0.5.0,268,22,No
QPIDJMS-182,4,0.4.0,280,22,No
QPIDJMS-182,3,0.3.0,346,22,No
QPIDJMS-182,2,0.2.0,375,42,No
QPIDJMS-182,1,0.1.0,433,162,No
QPIDJMS-184,10,0.10.0,0,0,No
QPIDJMS-184,9,0.9.0,64,9,Yes
QPIDJMS-184,8,0.8.0,116,13,No
QPIDJMS-184,7,0.7.0,176,13,No
QPIDJMS-184,6,0.6.0,246,13,No
QPIDJMS-184,5,0.5.0,288,2473,No
QPIDJMS-184,4,0.4.0,300,2473,No
QPIDJMS-184,3,0.3.0,366,2473,No
QPIDJMS-184,2,0.2.0,395,2473,No
QPIDJMS-184,1,0.1.0,453,2473,No
QPIDJMS-218,13,0.20.0,0,0,No
QPIDJMS-218,12,0.11.1,31,130,Yes
QPIDJMS-218,11,0.11.0,56,367,No
QPIDJMS-218,10,0.10.0,126,430,No
QPIDJMS-218,9,0.9.0,206,817,No
QPIDJMS-218,8,0.8.0,258,982,No
QPIDJMS-218,7,0.7.0,318,982,No
QPIDJMS-218,6,0.6.0,388,1680,No
QPIDJMS-218,5,0.5.0,430,1969,No
QPIDJMS-218,4,0.4.0,442,2102,No
QPIDJMS-218,3,0.3.0,508,2310,No
QPIDJMS-218,2,0.2.0,537,2354,No
QPIDJMS-218,1,0.1.0,595,2407,No
QPIDJMS-256,14,0.21.0,0,0,No
QPIDJMS-256,13,0.20.0,15,1256,Yes
QPIDJMS-256,12,0.11.1,123,1734,Yes
QPIDJMS-256,11,0.11.0,148,2007,No
QPIDJMS-256,10,0.10.0,218,2065,No
QPIDJMS-256,9,0.9.0,298,2365,No
QPIDJMS-256,8,0.8.0,350,2772,No
QPIDJMS-256,7,0.7.0,410,2772,No
QPIDJMS-256,6,0.6.0,480,4844,No
QPIDJMS-256,5,0.5.0,522,6366,No
QPIDJMS-256,4,0.4.0,534,6857,No
QPIDJMS-256,3,0.3.0,600,6967,No
QPIDJMS-256,2,0.2.0,629,7095,No
QPIDJMS-256,1,0.1.0,687,7162,No
QPIDJMS-257,14,0.21.0,0,0,No
QPIDJMS-257,13,0.20.0,19,488,Yes
QPIDJMS-257,12,0.11.1,127,695,Yes
QPIDJMS-257,11,0.11.0,152,833,No
QPIDJMS-257,10,0.10.0,222,880,No
QPIDJMS-257,9,0.9.0,302,977,No
QPIDJMS-257,8,0.8.0,354,1092,No
QPIDJMS-257,7,0.7.0,414,1092,No
QPIDJMS-257,6,0.6.0,484,1145,No
QPIDJMS-257,5,0.5.0,526,1641,No
QPIDJMS-257,4,0.4.0,538,1643,No
QPIDJMS-257,3,0.3.0,604,1715,No
QPIDJMS-257,2,0.2.0,633,1749,No
QPIDJMS-257,1,0.1.0,691,1772,No
QPIDJMS-254,13,0.20.0,0,0,No
QPIDJMS-254,12,0.11.1,105,409,Yes
QPIDJMS-254,11,0.11.0,130,430,Yes
QPIDJMS-254,10,0.10.0,200,440,Yes
QPIDJMS-254,9,0.9.0,280,489,Yes
