Bug ID,Version Index,Version Name,Days from Version to FV,LOC touched from Version to FV,Bugginess
DELTASPIKE-750,10,1.0.2,247,371,No
DELTASPIKE-750,9,1.0.1,282,371,No
DELTASPIKE-750,8,1.0.0,311,371,No
DELTASPIKE-750,7,0.7,353,371,No
DELTASPIKE-750,6,0.6,398,371,No
DELTASPIKE-750,5,0.5,580,371,No
DELTASPIKE-750,4,0.4,690,371,No
DELTASPIKE-750,3,0.3-incubating,972,371,No
DELTASPIKE-750,2,0.2-incubating,1094,371,No
DELTASPIKE-750,1,0.1-incubating,1166,371,No
DELTASPIKE-870,16,1.4.0,0,0,No
DELTASPIKE-870,15,1.3.0,35,47,Yes
DELTASPIKE-870,14,1.2.1,109,47,No
DELTASPIKE-870,13,1.2.0,129,47,No
DELTASPIKE-870,12,1.1.0,158,47,No
DELTASPIKE-870,11,1.0.3,199,47,No
DELTASPIKE-870,10,1.0.2,234,47,No
DELTASPIKE-870,9,1.0.1,269,47,No
DELTASPIKE-870,8,1.0.0,298,47,No
DELTASPIKE-870,7,0.7,340,47,No
DELTASPIKE-870,6,0.6,385,47,No
DELTASPIKE-870,5,0.5,567,47,No
DELTASPIKE-870,4,0.4,677,47,No
DELTASPIKE-870,3,0.3-incubating,959,47,No
DELTASPIKE-870,2,0.2-incubating,1081,47,No
DELTASPIKE-870,1,0.1-incubating,1153,47,No
DELTASPIKE-752,12,1.1.0,0,0,No
DELTASPIKE-752,11,1.0.3,36,142,Yes
DELTASPIKE-752,10,1.0.2,71,142,No
DELTASPIKE-752,9,1.0.1,106,164,No
DELTASPIKE-752,8,1.0.0,135,164,No
DELTASPIKE-752,7,0.7,177,171,No
DELTASPIKE-752,6,0.6,222,175,No
DELTASPIKE-752,5,0.5,404,615,No
DELTASPIKE-752,4,0.4,514,615,No
DELTASPIKE-752,3,0.3-incubating,796,937,No
DELTASPIKE-752,2,0.2-incubating,918,937,No
DELTASPIKE-752,1,0.1-incubating,990,937,No
DELTASPIKE-754,12,1.1.0,0,0,No
DELTASPIKE-754,11,1.0.3,35,46,Yes
DELTASPIKE-754,10,1.0.2,70,46,No
DELTASPIKE-754,9,1.0.1,105,48,No
DELTASPIKE-754,8,1.0.0,134,48,No
DELTASPIKE-754,7,0.7,176,55,No
DELTASPIKE-754,6,0.6,221,55,No
DELTASPIKE-754,5,0.5,403,118,No
DELTASPIKE-754,4,0.4,513,118,No
DELTASPIKE-754,3,0.3-incubating,795,118,No
DELTASPIKE-754,2,0.2-incubating,917,118,No
DELTASPIKE-754,1,0.1-incubating,989,118,No
DELTASPIKE-753,12,1.1.0,0,0,No
DELTASPIKE-753,11,1.0.3,36,76,Yes
DELTASPIKE-753,10,1.0.2,71,76,No
DELTASPIKE-753,9,1.0.1,106,78,No
DELTASPIKE-753,8,1.0.0,135,78,No
DELTASPIKE-753,7,0.7,177,85,No
DELTASPIKE-753,6,0.6,222,85,No
DELTASPIKE-753,5,0.5,404,148,No
DELTASPIKE-753,4,0.4,514,148,No
DELTASPIKE-753,3,0.3-incubating,796,148,No
DELTASPIKE-753,2,0.2-incubating,918,148,No
DELTASPIKE-753,1,0.1-incubating,990,148,No
DELTASPIKE-781,13,1.2.0,0,0,No
DELTASPIKE-781,12,1.1.0,16,49,Yes
DELTASPIKE-781,11,1.0.3,57,49,No
DELTASPIKE-781,10,1.0.2,92,49,No
DELTASPIKE-781,9,1.0.1,127,49,No
DELTASPIKE-781,8,1.0.0,156,49,No
DELTASPIKE-781,7,0.7,198,49,No
DELTASPIKE-781,6,0.6,243,49,No
DELTASPIKE-781,5,0.5,425,49,No
DELTASPIKE-781,4,0.4,535,49,No
DELTASPIKE-781,3,0.3-incubating,817,49,No
DELTASPIKE-781,2,0.2-incubating,939,57,No
DELTASPIKE-781,1,0.1-incubating,1011,59,No
DELTASPIKE-661,9,1.0.1,0,0,No
DELTASPIKE-661,8,1.0.0,25,64,Yes
DELTASPIKE-661,7,0.7,67,159,No
DELTASPIKE-661,6,0.6,112,171,No
DELTASPIKE-661,5,0.5,294,536,No
DELTASPIKE-661,4,0.4,404,536,No
DELTASPIKE-661,3,0.3-incubating,686,536,No
DELTASPIKE-661,2,0.2-incubating,808,536,No
DELTASPIKE-661,1,0.1-incubating,880,536,No
DELTASPIKE-782,13,1.2.0,0,0,No
DELTASPIKE-782,12,1.1.0,16,245,Yes
DELTASPIKE-782,11,1.0.3,57,262,No
DELTASPIKE-782,10,1.0.2,92,266,No
DELTASPIKE-782,9,1.0.1,127,268,No
DELTASPIKE-782,8,1.0.0,156,268,No
DELTASPIKE-782,7,0.7,198,268,No
DELTASPIKE-782,6,0.6,243,268,No
DELTASPIKE-782,5,0.5,425,268,No
DELTASPIKE-782,4,0.4,535,328,No
DELTASPIKE-782,3,0.3-incubating,817,337,No
DELTASPIKE-782,2,0.2-incubating,939,712,No
DELTASPIKE-782,1,0.1-incubating,1011,839,No
DELTASPIKE-664,10,1.0.2,0,0,No
DELTASPIKE-664,9,1.0.1,0,139,Yes
DELTASPIKE-664,8,1.0.0,29,139,Yes
DELTASPIKE-664,7,0.7,71,139,No
DELTASPIKE-664,6,0.6,116,139,No
DELTASPIKE-664,5,0.5,298,139,No
DELTASPIKE-664,4,0.4,408,139,No
DELTASPIKE-664,3,0.3-incubating,690,139,No
DELTASPIKE-664,2,0.2-incubating,812,139,No
DELTASPIKE-664,1,0.1-incubating,884,139,No
DELTASPIKE-787,15,1.3.0,0,0,No
DELTASPIKE-787,14,1.2.1,33,129,Yes
DELTASPIKE-787,13,1.2.0,53,129,Yes
DELTASPIKE-787,12,1.1.0,82,129,No
DELTASPIKE-787,11,1.0.3,123,129,No
DELTASPIKE-787,10,1.0.2,158,129,No
DELTASPIKE-787,9,1.0.1,193,129,No
DELTASPIKE-787,8,1.0.0,222,129,No
DELTASPIKE-787,7,0.7,264,129,No
DELTASPIKE-787,6,0.6,309,129,No
DELTASPIKE-787,5,0.5,491,136,No
DELTASPIKE-787,4,0.4,601,182,No
DELTASPIKE-787,3,0.3-incubating,883,182,No
DELTASPIKE-787,2,0.2-incubating,1005,182,No
DELTASPIKE-787,1,0.1-incubating,1077,182,No
DELTASPIKE-656,9,1.0.1,0,0,No
DELTASPIKE-656,8,1.0.0,20,61,Yes
DELTASPIKE-656,7,0.7,62,156,No
DELTASPIKE-656,6,0.6,107,168,No
DELTASPIKE-656,5,0.5,289,533,No
DELTASPIKE-656,4,0.4,399,533,No
DELTASPIKE-656,3,0.3-incubating,681,533,No
DELTASPIKE-656,2,0.2-incubating,803,533,No
DELTASPIKE-656,1,0.1-incubating,875,533,No
DELTASPIKE-893,16,1.4.0,0,0,No
DELTASPIKE-893,15,1.3.0,61,67,Yes
DELTASPIKE-893,14,1.2.1,135,73,No
DELTASPIKE-893,13,1.2.0,155,73,No
DELTASPIKE-893,12,1.1.0,184,73,No
DELTASPIKE-893,11,1.0.3,225,662,No
DELTASPIKE-893,10,1.0.2,260,662,No
DELTASPIKE-893,9,1.0.1,295,662,No
DELTASPIKE-893,8,1.0.0,324,662,No
DELTASPIKE-893,7,0.7,366,1162,No
DELTASPIKE-893,6,0.6,411,1616,No
DELTASPIKE-893,5,0.5,593,1720,No
DELTASPIKE-893,4,0.4,703,1720,No
DELTASPIKE-893,3,0.3-incubating,985,2189,No
DELTASPIKE-893,2,0.2-incubating,1107,2189,No
DELTASPIKE-893,1,0.1-incubating,1179,2189,No
DELTASPIKE-650,9,1.0.1,0,0,No
DELTASPIKE-650,8,1.0.0,16,605,Yes
DELTASPIKE-650,7,0.7,58,605,No
DELTASPIKE-650,6,0.6,103,605,No
DELTASPIKE-650,5,0.5,285,754,No
DELTASPIKE-650,4,0.4,395,754,No
DELTASPIKE-650,3,0.3-incubating,677,779,No
DELTASPIKE-650,2,0.2-incubating,799,779,No
DELTASPIKE-650,1,0.1-incubating,871,779,No
DELTASPIKE-771,13,1.2.0,0,0,No
DELTASPIKE-771,12,1.1.0,6,2,Yes
DELTASPIKE-771,11,1.0.3,47,19,Yes
DELTASPIKE-771,10,1.0.2,82,23,No
DELTASPIKE-771,9,1.0.1,117,25,No
DELTASPIKE-771,8,1.0.0,146,25,No
DELTASPIKE-771,7,0.7,188,25,No
DELTASPIKE-771,6,0.6,233,25,No
DELTASPIKE-771,5,0.5,415,25,No
DELTASPIKE-771,4,0.4,525,85,No
