Days from Version to FV,LOC touched from Version to FV,Bugginess
249,231,Yes
316,340,Yes
328,340,Yes
352,340,Yes
370,352,Yes
498,603,Yes
646,603,No
719,605,No
755,605,No
785,605,No
800,605,No
890,605,No
960,605,No
991,605,No
1011,605,No
1040,605,No
1058,605,No
0,0,No
9,40,Yes
137,298,No
285,624,No
358,946,No
394,1042,No
424,1132,No
439,1207,No
529,1339,No
599,1470,No
630,1531,No
650,1600,No
679,1667,No
697,1689,No
0,28,No
1,67,Yes
78,199,No
205,316,No
272,574,No
284,654,No
308,776,No
326,852,No
454,1110,No
602,1436,No
675,1758,No
711,1854,No
741,1944,No
756,2019,No
846,2151,No
916,2282,No
947,2343,No
967,2412,No
996,2479,No
1014,2501,No
0,0,No
83,11,Yes
143,11,No
165,11,No
292,11,No
369,11,No
496,11,No
563,25,No
575,25,No
599,25,No
617,25,No
745,45,No
893,45,No
966,45,No
1002,45,No
1032,45,No
1047,45,No
1137,45,No
1207,45,No
1238,45,No
1258,45,No
1287,45,No
1305,45,No
0,118,No
42,323,Yes
102,576,No
124,762,No
251,9213,No
328,9359,No
455,9476,No
522,9734,No
534,9814,No
558,9936,No
576,10060,No
704,10318,No
852,10644,No
925,10966,No
961,11062,No
991,11152,No
1006,11227,No
1096,11359,No
1166,11490,No
1197,11551,No
1217,11620,No
1246,11687,No
1264,11709,No
0,0,No
65,69,Yes
125,307,No
147,307,No
274,307,No
351,307,No
478,307,No
545,307,No
557,307,No
581,307,No
599,307,No
727,307,No
875,307,No
948,307,No
984,307,No
1014,307,No
1029,307,No
1119,307,No
1189,307,No
1220,307,No
1240,307,No
1269,307,No
1287,307,No
0,4,No
6,8,Yes
83,8,No
210,8,No
277,10,No
289,10,No
313,10,No
331,14,No
459,29,No
607,112,No
680,112,No
716,112,No
746,112,No
761,112,No
851,112,No
921,112,No
952,112,No
972,112,No
1001,112,No
1019,112,No
0,0,No
6,81,Yes
30,203,Yes
48,279,Yes
176,543,Yes
324,875,No
397,1197,No
433,1293,No
463,1383,No
478,1458,No
568,1590,No
638,1721,No
669,1782,No
689,1851,No
718,1918,No
736,1940,No
0,3,No
62,248,Yes
74,328,Yes
98,450,Yes
116,526,Yes
244,784,Yes
392,1110,No
465,1432,No
501,1528,No
531,1618,No
546,1693,No
636,1825,No
706,1956,No
737,2017,No
757,2086,No
786,2153,No
804,2175,No
0,51,No
38,4452,Yes
115,4584,No
242,4731,No
309,4995,No
321,5075,No
345,5197,No
363,5289,No
491,5676,No
639,6002,No
712,6324,No
748,6420,No
778,6510,No
793,6585,No
883,6717,No
953,6848,No
984,6909,No
1004,6978,No
1033,7045,No
