Bug ID,Version Index,Version Name,Days from Version to Ticket Creation,LOC touched from Version to Ticket Creation,Bugginess
QPIDJMS-108,1,0.1.0,176,1151,No
QPIDJMS-102,5,0.5.0,0,0,No
QPIDJMS-102,4,0.4.0,7,248,Yes
QPIDJMS-102,3,0.3.0,73,989,No
QPIDJMS-102,2,0.2.0,102,1158,No
QPIDJMS-102,1,0.1.0,160,1480,No
QPIDJMS-103,5,0.5.0,0,0,No
QPIDJMS-103,4,0.4.0,7,470,Yes
QPIDJMS-103,3,0.3.0,73,470,No
QPIDJMS-103,2,0.2.0,102,527,No
QPIDJMS-103,1,0.1.0,160,562,No
QPIDJMS-104,5,0.5.0,0,0,No
QPIDJMS-104,4,0.4.0,8,37,Yes
QPIDJMS-104,3,0.3.0,74,40,No
QPIDJMS-104,2,0.2.0,103,63,No
QPIDJMS-104,1,0.1.0,161,78,No
QPIDJMS-100,5,0.5.0,0,0,No
QPIDJMS-100,4,0.4.0,7,47,Yes
QPIDJMS-100,3,0.3.0,73,47,No
QPIDJMS-100,2,0.2.0,102,47,No
QPIDJMS-100,1,0.1.0,160,47,No
QPIDJMS-33,20,0.27.0,0,0,No
QPIDJMS-33,19,0.26.0,26,38,Yes
QPIDJMS-33,18,0.25.0,41,38,Yes
QPIDJMS-33,17,0.24.0,85,38,Yes
QPIDJMS-33,16,0.23.0,170,38,Yes
QPIDJMS-33,15,0.22.0,195,38,Yes
QPIDJMS-33,14,0.21.0,232,38,Yes
QPIDJMS-33,13,0.20.0,286,83,Yes
QPIDJMS-33,12,0.11.1,394,96,Yes
QPIDJMS-33,11,0.11.0,419,96,Yes
QPIDJMS-33,10,0.10.0,489,120,Yes
QPIDJMS-33,9,0.9.0,569,120,Yes
QPIDJMS-33,8,0.8.0,621,123,Yes
QPIDJMS-33,7,0.7.0,681,123,Yes
QPIDJMS-33,6,0.6.0,751,123,Yes
QPIDJMS-33,5,0.5.0,793,123,Yes
QPIDJMS-33,4,0.4.0,805,123,Yes
QPIDJMS-33,3,0.3.0,871,151,Yes
QPIDJMS-33,2,0.2.0,900,179,Yes
QPIDJMS-33,1,0.1.0,958,179,Yes
QPIDJMS-39,29,0.36.0,0,0,No
QPIDJMS-39,28,0.35.0,23,15,Yes
QPIDJMS-39,27,0.34.0,48,15,Yes
QPIDJMS-39,26,0.33.0,62,15,Yes
QPIDJMS-39,25,0.32.0,104,15,Yes
QPIDJMS-39,24,0.31.0,142,20,Yes
QPIDJMS-39,23,0.30.0,167,24,Yes
QPIDJMS-39,22,0.29.0,205,24,Yes
QPIDJMS-39,21,0.28.0,244,41,Yes
QPIDJMS-39,20,0.27.0,283,41,Yes
QPIDJMS-39,19,0.26.0,313,49,Yes
QPIDJMS-39,18,0.25.0,328,49,Yes
QPIDJMS-39,17,0.24.0,372,58,Yes
QPIDJMS-39,16,0.23.0,457,95,Yes
QPIDJMS-39,15,0.22.0,482,95,Yes
QPIDJMS-39,14,0.21.0,519,101,Yes
