Bug ID,Version Index,Version Name,Days from Version to FV,LOC touched from Version to FV,Bugginess
TINKERPOP-1847,1,3.0.0-incubating,868,165,No
TINKERPOP-1832,13,3.3.1,0,0,No
TINKERPOP-1832,12,3.2.6,93,29,Yes
TINKERPOP-1832,11,3.1.7,163,54,No
TINKERPOP-1832,10,3.2.4,287,100,No
TINKERPOP-1832,9,3.2.3,401,140,No
TINKERPOP-1832,8,3.2.2,442,441,No
TINKERPOP-1832,7,3.2.1,492,441,No
TINKERPOP-1832,6,3.1.2-incubating,593,606,No
TINKERPOP-1832,5,3.1.1-incubating,653,866,No
TINKERPOP-1832,4,3.1.0-incubating,737,921,No
TINKERPOP-1832,3,3.0.2-incubating,765,962,No
TINKERPOP-1832,2,3.0.1-incubating,812,1272,No
TINKERPOP-1832,1,3.0.0-incubating,860,1347,No
TINKERPOP-1716,12,3.2.6,0,0,No
TINKERPOP-1716,11,3.1.7,28,7,Yes
TINKERPOP-1716,10,3.2.4,152,157,Yes
TINKERPOP-1716,9,3.2.3,266,261,Yes
TINKERPOP-1716,8,3.2.2,307,406,No
TINKERPOP-1716,7,3.2.1,357,565,No
TINKERPOP-1716,6,3.1.2-incubating,458,565,No
TINKERPOP-1716,5,3.1.1-incubating,518,565,No
TINKERPOP-1716,4,3.1.0-incubating,602,565,No
TINKERPOP-1716,3,3.0.2-incubating,630,565,No
TINKERPOP-1716,2,3.0.1-incubating,677,565,No
TINKERPOP-1716,1,3.0.0-incubating,725,565,No
TINKERPOP-1792,13,3.3.1,0,0,No
TINKERPOP-1792,12,3.2.6,39,797,Yes
TINKERPOP-1792,11,3.1.7,109,1196,No
TINKERPOP-1792,10,3.2.4,233,2984,No
TINKERPOP-1792,9,3.2.3,347,4208,No
TINKERPOP-1792,8,3.2.2,388,4689,No
TINKERPOP-1792,7,3.2.1,438,5547,No
TINKERPOP-1792,6,3.1.2-incubating,539,6544,No
TINKERPOP-1792,5,3.1.1-incubating,599,7130,No
TINKERPOP-1792,4,3.1.0-incubating,683,7919,No
TINKERPOP-1792,3,3.0.2-incubating,711,7976,No
TINKERPOP-1792,2,3.0.1-incubating,758,8215,No
TINKERPOP-1792,1,3.0.0-incubating,806,8795,No
TINKERPOP-1790,13,3.3.1,0,0,No
TINKERPOP-1790,12,3.2.6,53,2556,Yes
TINKERPOP-1790,11,3.1.7,123,2556,No
TINKERPOP-1790,10,3.2.4,247,2682,No
TINKERPOP-1790,9,3.2.3,361,7359,No
TINKERPOP-1790,8,3.2.2,402,12010,No
TINKERPOP-1790,7,3.2.1,452,12010,No
TINKERPOP-1790,6,3.1.2-incubating,553,12010,No
TINKERPOP-1790,5,3.1.1-incubating,613,12010,No
TINKERPOP-1790,4,3.1.0-incubating,697,12010,No
TINKERPOP-1790,3,3.0.2-incubating,725,12010,No
TINKERPOP-1790,2,3.0.1-incubating,772,12010,No
TINKERPOP-1790,1,3.0.0-incubating,820,12010,No
TINKERPOP-1670,11,3.1.7,0,0,No
TINKERPOP-1670,10,3.2.4,89,151,Yes
TINKERPOP-1670,9,3.2.3,203,658,No
TINKERPOP-1670,8,3.2.2,244,857,No
TINKERPOP-1670,7,3.2.1,294,868,No
TINKERPOP-1670,6,3.1.2-incubating,395,2674,No
TINKERPOP-1670,5,3.1.1-incubating,455,3229,No
TINKERPOP-1670,4,3.1.0-incubating,539,3698,No
TINKERPOP-1670,3,3.0.2-incubating,567,3864,No
TINKERPOP-1670,2,3.0.1-incubating,614,3866,No
TINKERPOP-1670,1,3.0.0-incubating,662,3886,No
TINKERPOP-1791,13,3.3.1,0,0,No
TINKERPOP-1791,12,3.2.6,66,1493,Yes
TINKERPOP-1791,11,3.1.7,136,1868,Yes
TINKERPOP-1791,10,3.2.4,260,4439,No
TINKERPOP-1791,9,3.2.3,374,5306,No
TINKERPOP-1791,8,3.2.2,415,6205,No
TINKERPOP-1791,7,3.2.1,465,6652,No
TINKERPOP-1791,6,3.1.2-incubating,566,7355,No
TINKERPOP-1791,5,3.1.1-incubating,626,8265,No
TINKERPOP-1791,4,3.1.0-incubating,710,9107,No
TINKERPOP-1791,3,3.0.2-incubating,738,9164,No
TINKERPOP-1791,2,3.0.1-incubating,785,9253,No
TINKERPOP-1791,1,3.0.0-incubating,833,9382,No
TINKERPOP-1675,11,3.1.7,0,0,No
TINKERPOP-1675,10,3.2.4,103,19,Yes
TINKERPOP-1675,9,3.2.3,217,65,No
TINKERPOP-1675,8,3.2.2,258,70,No
TINKERPOP-1675,7,3.2.1,308,132,No
TINKERPOP-1675,6,3.1.2-incubating,409,139,No
TINKERPOP-1675,5,3.1.1-incubating,469,208,No
TINKERPOP-1675,4,3.1.0-incubating,553,208,No
TINKERPOP-1675,3,3.0.2-incubating,581,208,No
TINKERPOP-1675,2,3.0.1-incubating,628,208,No
TINKERPOP-1675,1,3.0.0-incubating,676,208,No
TINKERPOP-1796,13,3.3.1,0,0,No
TINKERPOP-1796,12,3.2.6,50,19,Yes
TINKERPOP-1796,11,3.1.7,120,52,No
TINKERPOP-1796,10,3.2.4,244,52,No
TINKERPOP-1796,9,3.2.3,358,52,No
TINKERPOP-1796,8,3.2.2,399,64,No
TINKERPOP-1796,7,3.2.1,449,64,No
TINKERPOP-1796,6,3.1.2-incubating,550,79,No
TINKERPOP-1796,5,3.1.1-incubating,610,394,No
TINKERPOP-1796,4,3.1.0-incubating,694,413,No
TINKERPOP-1796,3,3.0.2-incubating,722,413,No
TINKERPOP-1796,2,3.0.1-incubating,769,413,No
TINKERPOP-1796,1,3.0.0-incubating,817,418,No
TINKERPOP-1797,13,3.3.1,0,0,No
TINKERPOP-1797,12,3.2.6,58,482,Yes
TINKERPOP-1797,11,3.1.7,128,718,No
TINKERPOP-1797,10,3.2.4,252,994,No
TINKERPOP-1797,9,3.2.3,366,1393,No
TINKERPOP-1797,8,3.2.2,407,1644,No
TINKERPOP-1797,7,3.2.1,457,1811,No
TINKERPOP-1797,6,3.1.2-incubating,558,2193,No
TINKERPOP-1797,5,3.1.1-incubating,618,2470,No
TINKERPOP-1797,4,3.1.0-incubating,702,3225,No
TINKERPOP-1797,3,3.0.2-incubating,730,3282,No
TINKERPOP-1797,2,3.0.1-incubating,777,3371,No
TINKERPOP-1797,1,3.0.0-incubating,825,3611,No
TINKERPOP-1795,13,3.3.1,0,0,No
TINKERPOP-1795,12,3.2.6,44,435,Yes
TINKERPOP-1795,11,3.1.7,114,658,No
TINKERPOP-1795,10,3.2.4,238,934,No
TINKERPOP-1795,9,3.2.3,352,1314,No
TINKERPOP-1795,8,3.2.2,393,1565,No
TINKERPOP-1795,7,3.2.1,443,1732,No
TINKERPOP-1795,6,3.1.2-incubating,544,2089,No
TINKERPOP-1795,5,3.1.1-incubating,604,2330,No
TINKERPOP-1795,4,3.1.0-incubating,688,3067,No
TINKERPOP-1795,3,3.0.2-incubating,716,3124,No
