Key,Ticket Creation Date,Resolved Date,Recorded AV,Assumed AV,Recorded AV with Missing Dates
FOP-84,1,3,|,|1|2|3|,|trunk|
FOP-1159,1,3,|,|1|2|3|,|trunk|
FOP-911,1,3,|,|1|2|3|,|0.20.5|
FOP-1229,1,3,|,|1|2|3|,|trunk|
FOP-1301,1,3,|,|1|2|3|,|trunk|
FOP-895,1,3,|,|1|2|3|,|trunk|
FOP-1188,1,3,|,|1|2|3|,|0.92|
FOP-203,1,3,|,|1|2|3|,|trunk|
FOP-1146,1,3,|,|1|2|3|,|trunk|
FOP-22,1,3,|,|1|2|3|,|0.17|
FOP-717,1,3,|,|1|2|3|,|0.20.5|
FOP-1298,1,3,|,|1|2|3|,|0.93|
FOP-508,1,3,|,|1|2|3|,|0.20.4|
FOP-351,1,3,|,|1|2|3|,|0.20.3|
FOP-943,1,3,|,|1|2|3|,|0.20.5|
FOP-362,1,3,|,|1|2|3|,|0.20.3|
FOP-493,1,3,|,|1|2|3|,|0.94|
FOP-830,1,3,|,|1|2|3|,|trunk|
FOP-156,1,3,|,|1|2|3|,|trunk|
FOP-476,1,3,|,|1|2|3|,|0.20.4|
FOP-525,1,3,|,|1|2|3|,|0.15|
FOP-1605,2,3,|,|2|3|,|trunk|
FOP-451,1,3,|,|1|2|3|,|0.20.4|
FOP-1733,2,3,|,|2|3|,|trunk|
FOP-454,1,3,|,|1|2|3|,|0.20.4|
FOP-1514,1,3,|,|1|2|3|,|trunk|
FOP-1112,1,3,|,|1|2|3|,|trunk|
FOP-1096,1,3,|,|1|2|3|,|trunk|
FOP-1401,1,3,|,|1|2|3|,|0.93|
FOP-23,1,3,|,|1|2|3|,|0.17|
FOP-868,1,3,|,|1|2|3|,|trunk|
FOP-1199,1,3,|,|1|2|3|,|trunk|
FOP-1261,1,3,|,|1|2|3|,|trunk|
FOP-474,1,3,|,|1|2|3|,|0.20.4|
FOP-1483,1,3,|,|1|2|3|,|trunk|
FOP-1,1,3,|,|1|2|3|,|trunk|
FOP-311,1,3,|,|1|2|3|,|0.20.3|
FOP-1052,1,3,|,|1|2|3|,|trunk|
FOP-1243,1,3,|,|1|2|3|,|trunk|
FOP-1406,1,3,|,|1|2|3|,|trunk|
FOP-1160,1,3,|,|1|2|3|,|trunk|
FOP-908,1,3,|,|1|2|3|,|0.20.5|
FOP-1650,2,3,|,|2|3|,|trunk|
FOP-759,1,3,|,|1|2|3|,|trunk|
FOP-46,1,3,|,|1|2|3|,|0.17|
FOP-1365,1,3,|,|1|2|3|,|trunk|
FOP-1363,1,3,|,|1|2|3|,|0.93|
FOP-977,1,3,|,|1|2|3|,|0.20.5|
FOP-633,1,3,|,|1|2|3|,|0.20.5|
FOP-393,1,3,|,|1|2|3|,|0.20.4|
FOP-1036,1,3,|,|1|2|3|,|trunk|
FOP-219,1,3,|,|1|2|3|,|trunk|
FOP-649,1,3,|,|1|2|3|,|0.20.5|
FOP-1080,1,3,|,|1|2|3|,|trunk|
FOP-915,1,3,|,|1|2|3|,|0.15|
FOP-825,1,3,|,|1|2|3|,|trunk|
FOP-139,1,3,|,|1|2|3|,|trunk|
FOP-1452,1,3,|,|1|2|3|,|trunk|
FOP-1381,1,3,|,|1|2|3|,|trunk|
FOP-747,1,3,|,|1|2|3|,|trunk|
FOP-321,1,3,|,|1|2|3|,|0.20.3|
FOP-83,1,3,|,|1|2|3|,|trunk|
FOP-35,1,3,|,|1|2|3|,|0.17|
FOP-1398,1,3,|,|1|2|3|,|trunk|
FOP-494,1,3,|,|1|2|3|,|0.20.4|
FOP-599,1,3,|,|1|2|3|,|0.20.5|
FOP-648,1,3,|,|1|2|3|,|0.20.5|
FOP-122,1,3,|,|1|2|3|,|0.15|
FOP-728,1,3,|,|1|2|3|,|trunk|
FOP-148,1,3,|,|1|2|3|,|trunk|
FOP-1656,2,3,|,|2|3|,|trunk|
