Project,Total Releases,Number Without Release Dates,,Percent Without Dates,Names of Releases Without Dates,List of Releases That Follow Missing Date Releases
CXF,167,6,0.03592814371257485,|Invalid|NeedMoreInfo|WebSite|3.4.0|3.2.9|3.3.2|,|161|161|161|161|162|162|
DOSGI,16,2,0.125,|1.9.0|2.4.0|,|11|15|
CXFXJC,16,5,0.3125,|Invalid|NeedMoreInfo|3.0.6|3.1.1|3.3.1|,|2|2|6|7|12|
FEDIZ,26,2,0.07692307692307693,|1.5.0|1.4.6|,|16|25|
DAFFODIL,29,4,0.13793103448275862,|parser-tier-1|2.3.0|2.4.0|3.0.0|,|25|26|26|26|
DATAFU,7,4,0.5714285714285714,|1.3.3|1.4.0|1.5.0|1.6.0|,|4|4|4|4|
DAYTRADER,13,10,0.7692307692307693,|1.1.1|1.2|2.0|2.1.3|2.2|2.2.1|3.0-M2|3.0|WishList|2.1.8|,|3|3|3|3|4|4|4|4|4|4|
DDLUTILS,6,3,0.5,|1.1|1.2|1.3|,|4|4|4|
DTACLOUD,0,0,NaN,|,|
DELTASPIKE,34,2,0.058823529411764705,|2.0|1.9.1|,|32|33|
DEPOT,0,0,NaN,|,|
DERBY,53,23,0.4339622641509434,|10.0.2.2|10.1.3.2|10.1.3.3|10.2.2.1|10.3.3.1|10.4.2.1|10.5.3.1|10.5.3.2|10.6.2.2|10.6.2.4|10.7.1.4|10.8.3.3|10.9.2.2|10.10.2.1|10.11.1.3|10.12.1.2|10.13.1.0|11.0.0.0|10.13.1.2|10.14.1.1|10.14.3|10.15.1.4|10.16.0.0|,|3|6|6|8|11|13|16|16|18|18|19|22|23|25|26|27|27|27|28|29|30|31|31|
DMAP,17,4,0.23529411764705882,|1.1.0 .NET|2.0.0 Data|2.0.0 Java|2.0.0 .NET|,|14|14|14|14|
DIR,0,0,NaN,|,|
DIRSERVER,50,9,0.18,|1.0.3|1.0.4|2.0.0.AM26|2.0.0.AM27|2.0.0-RC1|2.0.0-RC2|2.0.0|2.1.0|2.1.1|,|9|9|42|42|42|42|42|42|42|
DIRAPI,45,4,0.08888888888888889,|1.1.0|1.0.3|2.0.0.AM3|2.0.0|,|40|40|42|42|
DIRGROOVY,0,0,NaN,|,|
DIRKRB,12,5,0.4166666666666667,|2.0.0-RC1|2.0.0-M23|1.0.2|1.1.2|2.0.1|,|4|4|6|8|8|
DIRNAMING,0,0,NaN,|,|
DIRSHARED,26,0,0.0,|,|
DIRSTUDIO,32,4,0.125,|2.0.0-M11|2.0.0|2.1.0|2.0.0-M15|,|26|29|29|29|
DL,3,0,0.0,|,|
DBF,2,1,0.5,|1.1|,|2|
DROIDS,4,2,0.5,|Graduating from the Incubator|0.3.0|,|3|3|
DVSL,3,0,0.0,|,|
EAGLE,9,7,0.7777777777777778,| Backlog|Future|v0.5.0|v0.3.1|v0.6.0|v0.4.1|v0.5.1|,|2|2|3|3|3|3|3|
EASYANT,4,2,0.5,|0.10|1.0|,|3|3|
ECS,0,0,NaN,|,|
EDGENT,5,1,0.2,|Apache Edgent 1.3.0|,|5|
EMPIREDB,20,1,0.05,|empire-db-2.5.0|,|20|
ESME,7,2,0.2857142857142857,|Backlog|1.4|,|4|6|
ESCIMO,0,0,NaN,|,|
ETCH,9,2,0.2222222222222222,|1.4.1|1.5.0|,|8|8|
EWS,2,1,0.5,|1.1|,|2|
EXLBR,9,9,1.0,|2.2|2.1|1.0|1.0.1|1.0.2|1.0.3|1.1|1.1.1|1.2|,|1|1|1|1|1|1|1|1|1|
FORTRESS,11,11,1.0,|1.0|1.1|1.2|1.3.2|2.0-alpha1|2.0-alpha2|2.0-beta1|2.0-beta2|2.0-rc1|2.0-rc2|2.0|,|1|1|1|1|1|1|1|1|1|1|1|
FALCON,14,6,0.42857142857142855,|FALCON-585|trunk|1.0|0.81|0.10|0.11|,|5|7|8|8|9|9|
