Key,Ticket Creation Date,Resolved Date,Recorded AV,Assumed AV,Recorded AV with Missing Dates
COCOON-481,10,23,|6|,|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-480,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-479,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-486,10,23,|9|,|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-485,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-491,10,23,|23|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-489,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-496,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-493,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-497,10,23,|9|,|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-501,10,23,|9|,|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-500,10,23,|9|,|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-499,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-504,10,23,|9|,|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-512,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-511,10,23,|9|,|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-510,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-508,10,23,|9|,|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-507,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-506,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-513,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-527,11,23,|,|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-522,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-521,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-518,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-516,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-515,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-514,10,23,|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-533,11,23,|,|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-530,11,23,|,|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-535,11,23,|,|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-534,11,23,|,|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-542,11,23,|10|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-537,11,23,|,|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-545,11,23,|,|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-540,11,23,|,|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-538,11,23,|8|,|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-557,11,23,|9|,|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-555,11,23,|,|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-554,11,23,|,|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-549,11,23,|10|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-564,11,23,|,|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-559,11,23,|10|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-576,11,23,|,|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-575,11,23,|10|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-572,11,23,|10|,|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-570,11,23,|,|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-198,8,23,|,|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-197,8,23,|,|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
