Key,Ticket Creation Date,Resolved Date,Recorded AV,Assumed AV,Recorded AV with Missing Dates
STR-1590,3,7,|2|,|2|3|4|5|6|7|,|
STR-1594,3,7,|2|,|2|3|4|5|6|7|,|
STR-1593,3,7,|2|,|2|3|4|5|6|7|,|
STR-1596,3,7,|2|,|2|3|4|5|6|7|,|
STR-1602,3,7,|,|3|4|5|6|7|,|1.1 RC1|
STR-1613,3,7,|2|,|2|3|4|5|6|7|,|
STR-1611,3,7,|2|,|2|3|4|5|6|7|,|
STR-1607,3,7,|2|,|2|3|4|5|6|7|,|
STR-1614,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1615,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1605,3,7,|2|,|2|3|4|5|6|7|,|
STR-1628,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1629,3,7,|2|,|2|3|4|5|6|7|,|
STR-1624,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1619,3,7,|2|,|2|3|4|5|6|7|,|
STR-1641,3,7,|2|,|2|3|4|5|6|7|,|
STR-1633,3,7,|,|3|4|5|6|7|,|1.0.0|
STR-1632,3,7,|2|,|2|3|4|5|6|7|,|
STR-1630,3,7,|2|,|2|3|4|5|6|7|,|
STR-1648,3,7,|2|,|2|3|4|5|6|7|,|
STR-1643,3,7,|2|,|2|3|4|5|6|7|,|
STR-1646,3,7,|2|,|2|3|4|5|6|7|,|
STR-1647,3,7,|2|,|2|3|4|5|6|7|,|
STR-1658,3,7,|,|3|4|5|6|7|,|1.1 RC1|
STR-1651,3,7,|,|3|4|5|6|7|,|1.0.0|
STR-1656,3,7,|2|,|2|3|4|5|6|7|,|
STR-1654,3,7,|1|,|1|2|3|4|5|6|7|,|
STR-1652,3,7,|2|,|2|3|4|5|6|7|,|
STR-1653,3,7,|,|3|4|5|6|7|,|1.1 RC2|
STR-1664,3,7,|2|,|2|3|4|5|6|7|,|
STR-1662,3,7,|2|,|2|3|4|5|6|7|,|
STR-1661,3,7,|2|,|2|3|4|5|6|7|,|
STR-1660,3,7,|,|3|4|5|6|7|,|1.1 RC2|
STR-1670,3,7,|2|,|2|3|4|5|6|7|,|
STR-1673,3,7,|1|,|1|2|3|4|5|6|7|,|
STR-1671,3,7,|,|3|4|5|6|7|,|Future|
STR-1680,3,7,|2|,|2|3|4|5|6|7|,|
STR-1676,3,7,|2|,|2|3|4|5|6|7|,|
