Index,Version Name,Release Date,Last Commit
28,1.4-RC7,2009-07-10T00:00,fa0254e6737e1bb56f1227faf0e0d22c4917a035
29,1.4.0,2009-07-16T00:00,3cceab5c26aff264633891a35a0a5ca3e0dd4005
30,1.4.1,2009-08-15T00:00,f03e554d08c2c235282d8e262e83a20856a57c8d
31,1.4.2,2009-09-27T00:00,31239099657a751fc4cd6e51cdf65a41164eca66
32,1.4.3,2009-10-18T00:00,b6ca16760f62d8ece37e01dbb956e5b4406ea995
33,1.4.4,2009-12-07T00:00,70cb632bb7f0e762c8ac86bcff026499386ca3e7
34,1.4.5,2009-12-16T00:00,cde804868a59f19c5002e7a514935b9c478c8685
35,1.4.6,2010-01-26T00:00,0aae1c8399f445cae73c505174a383f98fd7e2d6
36,1.4.7,2010-03-03T00:00,0504a8e5c3a6defba0fa7420991bb1485fcfb575
37,1.4.8,2010-04-24T00:00,9c75fcbee90bbb8972c779c49595c97126cb8dc6
38,1.4.9,2010-05-22T00:00,4e5da13871baa31c2ddba886c51efa288713367a
39,1.4.10,2010-08-06T00:00,387f27d83f78982ab68ea1ac1f3fb231bd9be64a
40,1.5-M1,2010-08-07T00:00,38132b72d823badde05be16be628c298356241c6
41,1.4.11,2010-09-04T00:00,8f5ff62516df56e9af4ce8c6846de3da8b6533c2
42,1.5-M2.1,2010-09-12T00:00,a9f84e16833084d9d1063413fc4c4271c3485d97
43,1.4.13,2010-11-02T00:00,cd1486a2e6f90f056c6c92b6afbdf84c3ecf098c
44,1.5-M3,2010-11-04T00:00,c93bb6f3958ab68dd437a756af587a8eb5fd4ae3
45,1.4.14,2010-11-27T00:00,84c86d853474e7dae221cf1a096a82c0ba4fe744
46,1.4.15,2010-12-23T00:00,bea80be98606cf2f69ac70091a5e6692233a8a2c
47,1.5-RC1,2011-01-21T00:00,993ecfc9bf19816843840cf711240dd8aaf1fb06
48,1.5-RC2,2011-02-21T00:00,68541e535375973cb13264900f92b15fc5c883b6
49,1.5-RC3,2011-03-28T00:00,6dbaffb14ee09564a14cb8af83022d1a5d6004ff
50,1.5-RC4,2011-05-07T00:00,598b604f0090394695a07f5f72a5d89cce3e1312
51,1.5-RC5,2011-06-16T00:00,2017c77f603466fc1b17237c7f15dda66e6c664b
52,1.5-RC5.1,2011-06-20T00:00,381d6f88169d5ae8c9bf8604432c1f49e0b6b883
53,1.4.18,2011-08-08T00:00,cf77226713c06b7bd7e7028a9d78f4de27e9474b
54,1.5-RC6,2011-08-23T00:00,3ddf4594341b225b8578d1d58df974b6611481e6
55,1.5-RC7,2011-08-24T00:00,1ad9b976de8429aca6a163d13381c5c62f90e3c9
56,1.5.0,2011-09-07T00:00,c896d2fd02b546797dc5070abed267281ee480ac
57,1.5.1,2011-09-20T00:00,0adceb22fbdb20d31e73702a2a6ecc7ef95bf6d1
58,1.4.19,2011-10-11T00:00,95f0f7f473c5651103b644573994b730577fa7d0
59,1.5.2,2011-10-12T00:00,e95b0428f22195b901f8d06ce46c799f322882f0
60,1.5.3,2011-11-09T00:00,1b2ca8fdffd9ee0311f11480e3d2c08aaa454b5b
61,1.5.4,2012-01-10T00:00,23e81bfa7abfae0f2be31aea12c7b38a9b89ff94
62,1.5.5,2012-03-09T00:00,38a500a458bf2c42b896fa2ff6dc0ae5824ba73c
63,6.0.0-beta1,2012-03-26T00:00,fb56d534c7ebe5e5943a560a3450cb83d7d5256b
