Bug ID,Bug Resolution Date,Ticket Creation Date,Fix Date,Hash,Git Directory
QPIDJMS-104,2015-08-27 10:39:20 +0000,2015-08-27 10:33:43 +0000,2015-08-27 11:34:50 +0100,cf492a102ad16a6ad9116f61650666054c6c53f6,qpid-jms
QPIDJMS-346,2017-12-11 16:05:23 +0000,2017-11-07 16:33:18 +0000,2017-11-16 17:41:32 -0500,9258e899c22718875a25e37817f76c9994398646,qpid-jms
QPIDJMS-226,2016-11-22 18:00:13 +0000,2016-11-22 17:40:49 +0000,2016-11-22 12:58:24 -0500,90f9b1f5181daeb0e9ad6d9baee679391faad762,qpid-jms
QPIDJMS-340,2017-10-13 15:27:36 +0000,2017-10-13 13:48:29 +0000,2017-10-13 09:49:13 -0400,5d17c95ae2ba0d9b6efbe07d3c7345ab59bbc40e,qpid-jms
QPIDJMS-100,2015-08-26 16:40:15 +0000,2015-08-26 16:38:13 +0000,2015-08-26 15:19:45 -0400,27c3c2977e75de85400459ac993f940ecfa77c83,qpid-jms
QPIDJMS-221,2016-11-11 22:32:19 +0000,2016-11-11 22:29:29 +0000,2016-11-11 17:30:27 -0500,2a201375ffeea39da43db811eb57bc293fb8d4b4,qpid-jms
QPIDJMS-342,2018-04-25 10:10:26 +0000,2017-10-17 18:43:21 +0000,2018-04-25 11:05:37 +0100,0933c9eee125d046ea0776d57fb74d9a8df68032,qpid-jms
QPIDJMS-189,2016-09-01 15:22:27 +0000,2016-06-27 15:52:49 +0000,2016-09-07 16:51:13 -0400,de50d9df553ab95594dc97f60047e3bf092fd478,qpid-jms
QPIDJMS-222,2016-11-16 22:08:46 +0000,2016-11-16 22:07:08 +0000,2016-11-16 17:08:22 -0500,9864e8e01e6870fcb69ff22b0a99c7435356f2a6,qpid-jms
QPIDJMS-182,2016-05-25 20:50:26 +0000,2016-05-25 20:39:52 +0000,2016-05-25 16:40:45 -0400,19128a577ed90a5b058d73c8617ffee8267a0ec8,qpid-jms
QPIDJMS-184,2016-06-14 15:10:13 +0000,2016-06-14 15:05:53 +0000,2016-06-14 11:08:33 -0400,21baa2277ec55bcf37b67d0d2891bdb7e5481ce9,qpid-jms
QPIDJMS-33,2015-03-31 14:57:33 +0000,2015-03-26 14:03:31 +0000,2017-11-01 12:44:01 +0000,6d49f7c50e5be464708013f79178b96210cf17bf,qpid-jms
QPIDJMS-39,2015-04-17 09:48:04 +0000,2015-04-12 17:52:54 +0000,2018-08-15 12:31:44 -0400,148436e7206aa47e1e607832084c428ab8bb7815,qpid-jms
QPIDJMS-218,2016-11-03 14:39:15 +0000,2016-11-03 14:36:28 +0000,2016-11-03 14:36:45 +0000,32fc7d20cb0bc1627cb7f21438aa18715fb63e57,qpid-jms
