Bug ID,Bug Resolution Date,Ticket Creation Date,Fix Date,Hash,Git Directory
TINKERPOP-1567,2017-09-13 12:02:04 +0000,2016-11-23 23:21:32 +0000,2016-11-28 13:41:45 -0700,9e82b4d33c275ef846e294bf145ff690ec816c0a,tinkerpop
TINKERPOP-1561,2017-09-13 11:56:08 +0000,2016-11-20 17:44:00 +0000,2016-11-30 10:37:25 -0700,ba7acd3df88f39dece77486e07cc70c649a9cbc9,tinkerpop
TINKERPOP-1440,2017-09-13 11:57:59 +0000,2016-09-09 01:49:37 +0000,2016-09-13 09:03:50 -0600,d659e15beb7366bf8ca555e0e4e4ab6f88b9dbeb,tinkerpop
TINKERPOP-1683,2017-08-21 17:05:23 +0000,2017-05-31 14:16:02 +0000,2017-06-18 13:46:28 -0400,e6c969e332e3ea5615af3863ab642b17043b3eab,tinkerpop
TINKERPOP-1320,2016-07-08 13:59:05 +0000,2016-06-01 18:53:19 +0000,2016-07-08 09:56:16 -0400,bb9d718ccf50f21c9928b0359fdf6a0b96115516,tinkerpop
TINKERPOP-1560,2017-01-30 12:51:26 +0000,2016-11-18 10:54:58 +0000,2017-01-30 07:49:45 -0500,1820606f23070ebdafdf7b4545da338d1b5914a0,tinkerpop
TINKERPOP-1324,2016-06-08 13:56:02 +0000,2016-06-03 15:24:49 +0000,2016-06-08 07:55:06 -0600,ecbb8e8f1874a8b393c62d7eaa838f71ea3da964,tinkerpop
TINKERPOP-1442,2016-09-16 12:08:26 +0000,2016-09-09 15:26:30 +0000,2016-09-16 07:46:28 -0400,1e248531ad2fa0a3a4507ca499214b7a730ec3a8,tinkerpop
TINKERPOP-1323,2016-06-02 20:02:33 +0000,2016-06-02 18:09:57 +0000,2016-06-02 13:57:47 -0600,9c56fa3a93ff1979373c681337c335de396ad916,tinkerpop
TINKERPOP-2094,2018-11-19 18:51:29 +0000,2018-11-16 12:00:21 +0000,2018-11-19 13:47:17 -0500,6de41bffb9aa7d50288f5d2211a9bdd7940716d9,tinkerpop
TINKERPOP-2095,2018-11-29 19:49:45 +0000,2018-11-16 17:10:04 +0000,2018-11-29 12:42:50 -0700,98146f4723143444ce7ed32e7ffb7bc26f5498e2,tinkerpop
TINKERPOP-1679,2017-09-13 11:52:36 +0000,2017-05-26 15:45:41 +0000,2017-07-24 13:35:25 -0600,9a33651a7e65cb22ec0cb3775ef6419d4336b509,tinkerpop
TINKERPOP-1317,2016-06-08 12:30:33 +0000,2016-06-01 18:11:06 +0000,2016-06-08 01:16:03 -0400,a6c19f069e9dc4c2ac0f42053cb7779fb759979a,tinkerpop
TINKERPOP-1798,2017-10-26 10:48:14 +0000,2017-10-13 08:26:11 +0000,2017-10-26 06:46:42 -0400,d459c6a9c7bb0241c5bb1d6690572d9094ee5833,tinkerpop
TINKERPOP-1678,2017-05-31 19:09:20 +0000,2017-05-26 14:23:01 +0000,2017-05-31 12:56:57 -0600,d4b9c3035aaeb4ebb740fe50d9a9939091c68bfd,tinkerpop
TINKERPOP-1799,2017-10-20 14:56:04 +0000,2017-10-13 11:02:18 +0000,2017-10-20 10:55:25 -0400,a8c5f651c4752e55b95806451321212a2afaf9f6,tinkerpop
TINKERPOP-1319,2016-07-08 13:58:42 +0000,2016-06-01 18:11:14 +0000,2016-07-08 09:39:39 -0400,460af69b0030680f85babcc4a0e50b5c76a5dea9,tinkerpop
TINKERPOP-1318,2016-06-08 12:30:59 +0000,2016-06-01 18:11:10 +0000,2016-06-08 01:17:08 -0400,8083819ab796217246d5bef153f43ccc34db6b95,tinkerpop
TINKERPOP-1397,2016-08-12 14:15:05 +0000,2016-08-04 04:15:34 +0000,2016-08-12 08:14:30 -0600,9f74b7147a3287b57e0df93f30f93f10cd94de9f,tinkerpop
TINKERPOP-2005,2018-08-07 16:57:47 +0000,2018-07-12 10:50:47 +0000,2018-07-31 12:11:34 -0400,fe9c26f656cf79f513af5b1230f498934a796063,tinkerpop
TINKERPOP-2126,2019-01-31 16:41:08 +0000,2019-01-04 20:18:47 +0000,2019-01-31 09:39:48 -0700,fec65738a207d2e33379544b1f259fcc110a0c19,tinkerpop
TINKERPOP-1830,2017-11-14 12:01:49 +0000,2017-11-10 01:12:12 +0000,2017-11-14 14:22:40 +1300,7be8a0f25672e20fb0fef58075c2a201501f0578,tinkerpop
TINKERPOP-2006,2018-08-28 18:13:23 +0000,2018-07-15 16:00:31 +0000,2018-08-28 13:42:25 -0400,31deab2133c8ec02ff9e2f62cf2ec47ce841b289,tinkerpop
TINKERPOP-1158,2016-10-06 22:00:50 +0000,2016-02-15 17:10:54 +0000,2016-10-06 23:58:06 +0200,e97b56d610507ac2429060c94b8b4605129b9426,tinkerpop
TINKERPOP-1391,2016-09-15 18:11:08 +0000,2016-07-29 01:30:24 +0000,2016-09-15 20:09:23 +0200,3a4f70510b8b2a536748f3f5d85b824e23431d37,tinkerpop
TINKERPOP-1390,2016-08-12 20:09:01 +0000,2016-07-28 20:18:06 +0000,2016-08-12 16:06:32 -0400,9542419ff262d102f8f8ec21dc28d795fbe876bc,tinkerpop
TINKERPOP-1151,2016-08-12 11:06:43 +0000,2016-02-13 07:22:17 +0000,2016-08-12 07:02:11 -0400,c25033175058aaec8973d9b7ad9bfe6f89e7b505,tinkerpop
TINKERPOP-1949,2018-04-20 11:10:44 +0000,2018-04-20 10:40:44 +0000,2018-04-20 07:07:14 -0400,f2a59544b3a38e447a84aee81cf54db4edaf7daf,tinkerpop
TINKERPOP-1821,2017-11-01 14:39:30 +0000,2017-10-30 15:05:32 +0000,2017-11-01 08:37:31 -0600,bef43d6ca54284bf905883032ce168b91c910e36,tinkerpop
TINKERPOP-1947,2018-04-25 11:28:21 +0000,2018-04-19 17:39:01 +0000,2018-04-25 06:56:17 -0400,44c4073f2711cd56948ea9753f94e51897262031,tinkerpop
TINKERPOP-1704,2017-06-30 15:04:06 +0000,2017-06-28 14:24:32 +0000,2017-06-30 09:03:22 -0600,16afd9c57887e3f4826ba422633a0e80b19d9564,tinkerpop
TINKERPOP-1825,2017-12-05 13:22:01 +0000,2017-11-02 14:21:25 +0000,2017-12-05 14:15:05 +0100,b3adadc321f96ce4645021af7b3a8b0c90df5610,tinkerpop
TINKERPOP-1383,2016-09-01 15:26:22 +0000,2016-07-21 18:28:37 +0000,2016-09-01 17:24:22 +0200,29f4b247e820d20a72e7a6568176e6fcc5a01091,tinkerpop
