Bug ID,Bug Resolution Date,Classes Touched by Fix,Earliest AV,Version of Ticket Creation,Version of Fix,
ISIS-359,2013-03-07T20:47:13.000+0000,component/viewer/wicket/model/src/main/java/org/apache/isis/viewer/wicket/model/models/EntityCollectionModel.java|component/viewer/wicket/model/src/main/java/org/apache/isis/viewer/wicket/model/util/ObjectAdapters.java|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/collectioncontents/ajaxtable/BulkActionsLinkFactory.java|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/collectioncontents/ajaxtable/CollectionContentsAsAjaxTablePanel.java|core/applib/src/main/java/org/apache/isis/applib/annotation/Bulk.java|core/metamodel/src/main/java/org/apache/isis/core/progmodel/facets/actions/bulk/annotation/BulkAnnotationFacetFactory.java|example/application/quickstart_wicket_restful_jdo/dom/src/main/java/dom/todo/ToDoItem.java|,5,6,6,
ISIS-382,2013-04-12T05:37:24.000+0000,component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/actions/ActionPanel.css|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/actions/ActionParametersFormPanel.html|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/actions/ActionParametersFormPanel.java|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/actions/spinning-icon-blue.gif|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/actions/spinning-icon.gif|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/entity/properties/EntityPropertiesForm.java|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/entity/properties/EntityPropertiesPanel.html|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/entity/properties/EntityPropertiesPanel.java|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/entity/properties/spinning-icon.gif|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/pages/PageAbstract.css|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/pages/PageAbstract.html|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/pages/PageAbstract.java|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/pages/jquery.isis.wicket.viewer.js|,5,6,6,
ISIS-385,2013-04-16T19:21:57.000+0000,component/viewer/wicket/model/src/main/java/org/apache/isis/viewer/wicket/model/links/LinkAndLabel.java|component/viewer/wicket/model/src/main/java/org/apache/isis/viewer/wicket/model/models/EntityCollectionModel.java|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/appactions/cssmenu/AppActionsCssMenuLinkFactory.java|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/collection/CollectionPanel.java|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/collectioncontents/ajaxtable/BulkActionsLinkFactory.java|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/collectioncontents/ajaxtable/CollectionContentsAsAjaxTablePanel.java|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/entity/EntityActionLinkFactory.java|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/entity/header/EntityHeaderPanel.java|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/widgets/cssmenu/CssMenuItem.java|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/widgets/cssmenu/CssMenuPanel.css|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/selector/links/LinksSelectorPanelAbstract.java|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/selector/links/images/icon_calendar_off.png|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/selector/links/images/icon_calendar_on.png|example/application/quickstart_wicket_restful_jdo/dom/src/main/java/dom/todo/ToDoItem.java|example/application/quickstart_wicket_restful_jdo/pom.xml|example/application/quickstart_wicket_restful_jdo/viewer-webapp/pom.xml|,5,6,6,
ISIS-402,2013-05-09T14:39:04.000+0000,component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/collectioncontents/ajaxtable/CollectionContentsAsAjaxTablePanel.java|component/viewer/wicket/ui/src/main/java/org/apache/isis/viewer/wicket/ui/components/widgets/cssmenu/CssMenuBuilder.java|,5,6,6,
ISIS-408,2013-05-19T16:19:43.000+0000,core/applib/src/main/java/org/apache/isis/applib/AbstractContainedObject.java|core/runtime/src/main/java/org/apache/isis/core/runtime/system/transaction/IsisTransaction.java|,5,6,6,
ISIS-435,2013-06-12T04:56:28.000+0000,core/metamodel/src/main/java/org/apache/isis/core/metamodel/specloader/classsubstitutor/ClassSubstitutorAbstract.java|core/metamodel/src/test/java/org/apache/isis/core/metamodel/specloader/classsubstitutor/ClassSubstitutorAbstract_getClass.java|example/application/quickstart_wicket_restful_jdo/dom/src/main/java/dom/todo/ToDoItem.java|example/application/quickstart_wicket_restful_jdo/webapp/src/main/webapp/WEB-INF/isis.properties|,6,8,8,
ISIS-442,2013-06-20T21:14:02.000+0000,core/runtime/src/main/java/org/apache/isis/core/runtime/system/transaction/IsisTransactionManager.java|,6,8,8,
ISIS-449,2013-06-28T17:05:10.000+0000,component/viewer/wicket/impl/src/main/java/org/apache/isis/viewer/wicket/viewer/integration/wicket/WebRequestCycleForIsis.java|core/runtime/src/main/java/org/apache/isis/core/runtime/system/transaction/IsisTransactionManager.java|,6,8,8,
ISIS-451,2013-06-28T17:05:31.000+0000,core/metamodel/src/main/java/org/apache/isis/core/progmodel/facets/object/ignore/javalang/RemoveJavaLangComparableMethodsFacetFactory.java|core/metamodel/src/main/java/org/apache/isis/core/progmodel/facets/object/ignore/javalang/RemoveSyntheticOrAbstractMethodsFacetFactory.java|core/metamodel/src/main/java/org/apache/isis/core/progmodel/facets/properties/accessor/PropertyAccessorFacetFactory.java|core/metamodel/src/main/java/org/apache/isis/progmodels/dflt/ProgrammingModelFacetsJava5.java|,6,8,8,
ISIS-464,2013-07-15T13:34:04.000+0000,component/viewer/restfulobjects/rendering/src/main/java/org/apache/isis/viewer/restfulobjects/rendering/LinkBuilder.java|component/viewer/restfulobjects/rendering/src/main/java/org/apache/isis/viewer/restfulobjects/rendering/domainobjects/DomainObjectReprRenderer.java|component/viewer/restfulobjects/rendering/src/main/java/org/apache/isis/viewer/restfulobjects/rendering/util/OidUtils.java|component/viewer/restfulobjects/server/src/main/java/org/apache/isis/viewer/restfulobjects/server/ResourceContext.java|component/viewer/restfulobjects/server/src/main/java/org/apache/isis/viewer/restfulobjects/server/resources/DomainServiceResourceServerside.java|component/viewer/restfulobjects/server/src/main/java/org/apache/isis/viewer/restfulobjects/server/resources/ResourceAbstract.java|core/applib/src/main/java/org/apache/isis/applib/annotation/NotContributed.java|core/applib/src/main/java/org/apache/isis/applib/annotation/Where.java|core/metamodel/src/main/java/org/apache/isis/core/metamodel/facets/FacetFactory.java|example/domain-service/email-service/src/main/java/org/apache/isis/example/domainservice/email/Email.java|,6,8,8,
ISIS-476,2013-07-24T05:45:56.000+0000,component/objectstore/jdo/jdo-datanucleus/src/main/java/org/apache/isis/objectstore/jdo/datanucleus/persistence/spi/DataNucleusSimplePersistAlgorithm.java|,6,8,8,
ISIS-481,2013-07-26T08:08:24.000+0000,component/viewer/restfulobjects/rendering/src/main/java/org/apache/isis/viewer/restfulobjects/rendering/domainobjects/DomainObjectReprRenderer.java|component/viewer/restfulobjects/rendering/src/main/java/org/apache/isis/viewer/restfulobjects/rendering/domainobjects/JsonValueEncoder.java|component/viewer/restfulobjects/server/src/main/java/org/apache/isis/viewer/restfulobjects/server/resources/ResourceAbstract.java|component/viewer/restfulobjects/server/src/main/java/org/apache/isis/viewer/restfulobjects/server/webapp/IsisTransactionFilterForRestfulObjects.java|core/runtime/src/main/java/org/apache/isis/core/runtime/persistence/adaptermanager/AdapterManagerDefault.java|core/runtime/src/main/java/org/apache/isis/core/webapp/IsisSessionFilter.java|example/application/quickstart_wicket_restful_jdo/webapp/src/main/webapp/WEB-INF/web.xml|,3,8,8,
ISIS-479,2013-07-29T13:09:10.000+0000,component/viewer/restfulobjects/server/src/main/java/org/apache/isis/viewer/restfulobjects/server/resources/DomainResourceHelper.java|,6,8,8,
ISIS-126,2013-08-20T13:47:34.000+0000,core/pom.xml|,1,2,20,
ISIS-533,2013-09-15T11:53:33.000+0000,core/runtime/src/main/java/org/apache/isis/core/runtime/system/transaction/IsisTransaction.java|,6,8,8,
ISIS-549,2013-09-29T15:10:01.000+0000,component/objectstore/jdo/jdo-datanucleus/src/main/java/org/apache/isis/objectstore/jdo/datanucleus/DataNucleusPersistenceMechanismInstaller.java|,6,8,8,
ISIS-545,2013-10-07T09:10:37.000+0000,core/integtestsupport/src/test/java/org/apache/isis/core/runtime/fixturedomainservice/ObjectFixtureFilePersistorTest.java|,6,8,8,
ISIS-565,2013-10-15T07:48:01.000+0000,component/viewer/wicket/model/src/main/java/org/apache/isis/viewer/wicket/model/models/EntityModel.java|,6,8,8,
